Ejecución,Tiempo_s
1,0.0007922000004327856
2,0.000194500000361586
3,0.00015110000094864517
4,0.00014149999697110616
5,0.00017520000255899504
6,0.0001576000031491276
7,0.00014899999951012433
8,0.00014789999841013923
9,0.0001463999979023356
10,0.0001453000004403293
11,0.00018909999926108867
12,0.0001557000032335054
13,0.0001474999990023207
14,0.00014739999824087135
15,0.00015079999866429716
16,0.00014820000069448724
17,0.00014509999891743064
18,0.00014409999857889488
19,0.00014319999900180846
20,0.00015070000154082663
21,0.0001412999990861863
22,0.00014290000035543926
23,0.00014569999984814785
24,0.00016569999934290536
25,0.0001460999992559664
26,0.00014390000069397502
27,0.00014800000280956738
28,0.00014699999883305281
29,0.0001446999995096121
30,0.00012790000255336054
31,0.00011859999722219072
32,0.00012910000077681616
33,0.0001565000020491425
34,0.00014460000238614157
35,0.00013949999993201345
36,0.0001472000003559515
37,0.0001412999990861863
38,0.00021689999994123355
39,0.0001421999986632727
40,0.00010150000161956996
41,9.259999933419749e-05
42,8.740000339457765e-05
43,8.549999984097667e-05
44,0.00012480000077630393
45,0.00021100000230944715
46,0.00018280000222148374
47,0.00015949999942677096
48,0.0001446999995096121
49,0.0001432999997632578
50,0.00014819999705650844
51,0.0001443999972252641
52,0.00016709999908925965
53,0.0001450000017939601
54,0.0001534000002720859
55,0.00014279999959398992
56,0.00017389999993611127
57,0.00015160000111791305
58,0.0001505999971413985
59,0.00014349999764817767
60,0.00013949999993201345
61,0.00014170000213198364
62,0.00014000000010128133
63,0.00014100000043981709
64,0.00014100000043981709
65,0.00014060000103199854
66,0.00014100000043981709
67,0.00013940000280854292
68,0.0001391000005241949
69,0.00013920000128564425
70,0.00015730000086477958
71,0.00014109999756328762
72,0.0001419000000169035
73,0.00014020000162418
74,0.00014039999950909987
75,0.0001384999995934777
76,0.00013720000060857274
77,0.0001297999988310039
78,0.00012120000246795826
79,0.0001187999987450894
80,0.00011320000339765102
81,0.000121900000522146
82,0.00014319999900180846
83,0.00014029999874765053
84,0.0001536999989184551
85,0.0001604999997653067
86,0.00013889999900129624
87,0.0001391000005241949
88,0.00013770000077784061
89,0.00013580000086221844
90,0.00013689999832422473
91,0.00013799999942420982
92,0.000139899999339832
93,0.00014709999959450215
94,0.00013839999883202836
95,0.00013949999993201345
96,0.0001370999998471234
97,0.00013699999908567406
98,0.00015029999849502929
99,0.0001464000015403144
100,0.0001367999975627754
101,0.00013770000077784061
102,0.000136500002554385
103,0.00013799999942420982
104,0.0001464000015403144
105,0.00013920000128564425
106,0.0001387999982398469
107,0.0001384999995934777
108,0.00013899999976274557
109,0.00013779999790131114
110,0.00013829999807057902
111,0.0001374000021314714
112,0.00013899999976274557
113,0.00019830000019283034
114,0.0001415999977325555
115,0.00013899999976274557
116,0.00013770000077784061
117,0.000139899999339832
118,0.00013839999883202836
119,0.00013770000077784061
120,0.000139899999339832
121,0.00014569999984814785
122,0.00013789999866276048
123,0.00014630000077886507
124,0.00013980000221636146
125,0.00013760000001639128
126,0.0001570999993418809
127,0.00014569999984814785
128,0.0001297999988310039
129,0.0001190999973914586
130,0.00012169999899924733
131,0.00011779999840655364
132,0.0001140000022132881
133,0.0001329000006080605
134,0.0001489000023866538
135,0.00013920000128564425
136,0.00013969999781693332
137,0.0001396000006934628
138,0.00013760000001639128
139,0.00013829999807057902
140,0.00013640000179293565
141,0.00017270000171265565
142,0.00014680000094813295
143,0.000139899999339832
144,0.00014000000010128133
145,0.00014540000120177865
146,0.00013639999815495685
147,0.00013869999747839756
148,0.0001376999971398618
149,0.0001391000005241949
150,0.00013799999942420982
151,0.00015079999866429716
152,0.00013649999891640618
153,0.00014840000221738592
154,0.00013860000035492703
155,0.00015949999942677096
156,0.00014080000255489722
157,0.0001827000014600344
158,0.00012680000145337544
159,0.00011480000102892518
160,0.00013559999933931977
161,0.00015279999934136868
162,0.00014000000010128133
163,0.00013829999807057902
164,0.00013749999925494194
165,0.0001370999998471234
166,0.0001373999984934926
167,0.00013600000238511711
168,0.00013519999993150122
169,0.00017049999951268546
170,0.00014149999697110616
171,0.00013869999747839756
172,0.00013720000060857274
173,0.00013609999950858764
174,0.00013690000196220353
175,0.00013580000086221844
176,0.00013609999950858764
177,0.00013389999730861746
178,0.00013720000060857274
179,0.0001357000001007691
180,0.00013559999933931977
181,0.0001370999998471234
182,0.000136500002554385
183,0.00015499999790336005
184,0.00013980000221636146
185,0.00013630000103148632
186,0.00013649999891640618
187,0.00013659999967785552
188,0.00013469999976223335
189,0.00012399999832268804
190,0.00011520000043674372
191,0.00012349999815342017
192,0.00014820000069448724
193,0.00013949999993201345
194,0.00013730000137002207
195,0.0001379000023007393
196,0.0001368000012007542
197,0.00013699999908567406
198,0.000149200001033023
199,0.00013870000111637637
200,0.000136500002554385
